FlyerData[B2B_Discount_Percentage],FlyerData[B2B_Savings_Amount],FlyerData[Consumer_Discount_Percentage],FlyerData[Consumer_Savings_Amount],FlyerData[Deal_Badge],FlyerData[Deal_Rating],FlyerData[Price_Display],FlyerData[Savings_Display],FlyerData[Total_B2B_Savings],FlyerData[Avg_B2B_Discount],FlyerData[Avg_Savings_Per_Tire],FlyerData[Best_Deals_Count],FlyerData[Total_Items_Available],FlyerData[OnSale],FlyerData[Item],FlyerData[Model],FlyerData[SLP],FlyerData[Net],FlyerData[SalePrice],FlyerData[AvailableQuantity],FlyerData[Hot_Deals_Count],FlyerData[Brand_Logo_URL],FlyerData[Manufacturer],FlyerData[Size],FlyerData[StrippedSize],FlyerData[TypeDescription],FlyerData[IsWinterTire]
6,11,0,-179,,1,$179 (reg $190),Save $11 per tire!,78,6,11,0,1,Yes,110140618,ADVAN SPORT A/S+,0,190,179,7,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,225/50R17,2255017,Passenger,False
9,29,0,-299,,1,$299 (reg $328),Save $29 per tire!,290,9,29,0,1,Yes,110101641,Geolandar A/T G015,0,328,299,10,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,LT285/70R17,2857017,ALL WEATHER LT,False
3,6,43,122,,1,$162 (reg $168),Save $6 per tire!,103,3,6,0,1,Yes,15571180000,PureContact LS,284,168,162,18,0,https://1000logos.net/wp-content/uploads/2022/11/Continental-Logo.png,CONTINENTAL,215/55R16,2155516,Passenger,False
14,29,0,-186,💵 ON SALE,2,$186 (reg $216),Save $29 per tire!,705,14,29,0,1,Yes,110115346,ICEGUARD IG53,0,216,186,24,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,225/50R18,2255018,Passenger - Winter,True
37,288,44,394,💰 GREAT DEAL,4,$493 (reg $781),Save $288 per tire!,1728,37,288,1,1,Yes,72805,XDN2,887,781,493,6,0,https://michelinmedia.com/site/user/images/Michelin_Corporate_Logo___color.jpg,MICHELIN,11R22.5,11225,Medium Truck,False
0,0,46,142,,1,$167,,0,0,0,0,1,Yes,B608680,BV11+,309,167,167,53,0,https://be.fitandfix.com/media/brands/1681305666170.png,BOTO,285/60R18,2856018,Passenger,False
3,7,43,143,,1,$189 (reg $196),Save $7 per tire!,47,3,7,0,1,Yes,15508370000,PureContact LS,332,196,189,7,0,https://1000logos.net/wp-content/uploads/2022/11/Continental-Logo.png,CONTINENTAL,235/45R17,2354517,Passenger,False
1,2,43,99,,1,$131 (reg $133),Save $2 per tire!,32,1,2,0,1,Yes,15571170000,PureContact LS,230,133,131,19,0,https://1000logos.net/wp-content/uploads/2022/11/Continental-Logo.png,CONTINENTAL,195/65R15,1956515,Passenger,False
8,15,0,-173,,1,$173 (reg $188),Save $15 per tire!,180,8,15,0,1,Yes,D226760,IA-207,0,188,173,12,0,https://deliumtires.com/cdn/shop/files/1539168771Delium_e5fe28e8-10c6-4f67-b7a9-cf496cc2151b.jpg?v=1632319242,DELIUM,265/70R16,2657016,Light Truck,False
0,0,46,123,,1,$145,,0,0,0,0,1,Yes,B586675,SASQUA H/T,269,145,145,53,0,https://be.fitandfix.com/media/brands/1681305666170.png,BOTO,265/65R17,2656517,Passenger,False
27,445,0,-1229,⭐ GOOD DEAL,3,"$1,229 (reg $1,674)",Save $445 per tire!,3118,27,445,0,1,Yes,B101012,GCB3,0,1674,1229,7,0,https://be.fitandfix.com/media/brands/1681305666170.png,BOTO,14.00R24,140024,O.T.R.,False
3,8,43,169,,1,$224 (reg $232),Save $8 per tire!,55,3,8,0,1,Yes,03594630000,CrossContact ATR,393,232,224,7,0,https://1000logos.net/wp-content/uploads/2022/11/Continental-Logo.png,CONTINENTAL,225/65R17,2256517,Passenger,False
0,0,46,141,,1,$166,,0,0,0,0,1,Yes,B560425,SPORTSTAR BH19,306,166,166,10,0,https://be.fitandfix.com/media/brands/1681305666170.png,BOTO,305/40R22,3054022,Performance,False
0,0,46,100,,1,$117,,0,0,0,0,1,Yes,B564322,SPORTSTAR BH19,217,117,117,22,0,https://be.fitandfix.com/media/brands/1681305666170.png,BOTO,245/30ZR22,2453022,Performance,False
22,72,59,374,⭐ GOOD DEAL,3,$259 (reg $331),Save $72 per tire!,3179,22,72,0,1,Yes,B312135,BT556,633,331,259,44,0,https://be.fitandfix.com/media/brands/1681305666170.png,BOTO,11R22.5,11225,Medium Truck,False
9,11,0,-109,,1,$109 (reg $121),Save $11 per tire!,819,9,11,0,1,Yes,B821580,BS68,0,121,109,72,0,https://be.fitandfix.com/media/brands/1681305666170.png,BOTO,215/50R18,2155018,Passenger - Winter,True
37,251,44,343,💰 GREAT DEAL,4,$430 (reg $680),Save $251 per tire!,3760,37,251,1,1,Yes,21307,XTE,773,680,430,15,0,https://michelinmedia.com/site/user/images/Michelin_Corporate_Logo___color.jpg,MICHELIN,11R22.5,11225,Medium Truck,False
15,21,52,131,💵 ON SALE,2,$118 (reg $140),Save $21 per tire!,400,15,21,0,1,Yes,K846920,VULCAN,249,140,118,19,0,https://www.atvstore.com.au/assets/webshop/cms/06/5406.png?1649739533,FORERUNNER,AT26X9-12,26912,Lawn/Garden/Trailer Tires,False
